기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 부산
기간 : 20170101~20200414

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2017-01-01,159,6.5,2.2,12.6
2017-01-02,159,9.5,5.3,15.1
2017-01-03,159,7.9,3.8,14.2
2017-01-04,159,8.1,4.7,12.9
2017-01-05,159,7.8,6,12.7
2017-01-06,159,7.5,5.1,12.8
2017-01-07,159,8.7,4.3,12.8
2017-01-08,159,9.3,7.4,12.9
2017-01-09,159,7.3,4.1,11.3
2017-01-10,159,3.5,0.8,7.7
2017-01-11,159,1.1,-2.3,4.9
2017-01-12,159,3.9,-0.5,8.7
2017-01-13,159,1.5,-1.9,6.7
2017-01-14,159,-2.4,-6,2.5
2017-01-15,159,-1.5,-7.7,5.6
2017-01-16,159,1.4,-3.5,8.3
2017-01-17,159,4.4,-0.3,9.8
2017-01-18,159,5.3,1.7,9.2
2017-01-19,159,4.9,0.2,10.5
2017-01-20,159,2.1,-2.1,5.9
2017-01-21,159,0,-3.9,4.2
2017-01-22,159,0.6,-4.1,5.1
2017-01-23,159,-2.5,-6.3,2.9
2017-01-24,159,-1.1,-5.3,4.4
2017-01-25,159,1.2,-3.7,8.2
2017-01-26,159,3.8,-1.7,9.2
2017-01-27,159,7.2,2.6,12.3
2017-01-28,159,6.5,0.5,12.1
2017-01-29,159,8,6.6,9.3
2017-01-30,159,3.3,-1.4,8.2
2017-01-31,159,3.1,-2.2,9
2017-02-01,159,2.3,-0.6,8.5
2017-02-02,159,3.4,-2.5,10.1
2017-02-03,159,5.5,0.2,12.5
2017-02-04,159,9.5,5.3,15.1
2017-02-05,159,7.3,4.3,12
2017-02-06,159,4,1.3,8.8
2017-02-07,159,4.4,-0.3,10.1
2017-02-08,159,6.1,2.6,9.8
2017-02-09,159,1,-2.9,5.7
2017-02-10,159,-1.5,-4.7,3.1
2017-02-11,159,-0.5,-5.7,5.9
2017-02-12,159,2.2,-2.5,8.3
2017-02-13,159,4.7,-0.9,11
2017-02-14,159,5.5,1.9,10.8
2017-02-15,159,7.3,2.7,12.8
2017-02-16,159,11.7,6.5,15.9
2017-02-17,159,12.1,5.3,17.7
2017-02-18,159,4,1.3,8.7
2017-02-19,159,6.7,-1,13
2017-02-20,159,9.4,0.5,14.3
2017-02-21,159,5.2,-1,9.7
2017-02-22,159,8.2,6.1,10.5
2017-02-23,159,5.4,0.8,10.3
2017-02-24,159,2.8,-1.6,8.5
2017-02-25,159,5.7,0.4,12.3
2017-02-26,159,6.4,2.4,10.3
2017-02-27,159,7.5,4.2,12.2
2017-02-28,159,8.8,4.3,13.6
2017-03-01,159,9.3,6.2,13.8
2017-03-02,159,6.6,2.6,11.4
2017-03-03,159,6.7,0.5,12.4
2017-03-04,159,9.7,5.5,14.5
2017-03-05,159,10.2,7.1,15.5
2017-03-06,159,7.1,1.7,11.4
2017-03-07,159,3.1,-1.1,9.8
2017-03-08,159,2.9,-2.3,9.5
2017-03-09,159,6.9,1.9,11.8
2017-03-10,159,8.6,3.3,15.4
2017-03-11,159,10.3,6.4,15.7
2017-03-12,159,11.3,6.3,16.6
2017-03-13,159,10.9,8.4,15.7
2017-03-14,159,8.7,5.2,14.8
2017-03-15,159,7.6,3.4,14
2017-03-16,159,9,5.2,12.8
2017-03-17,159,10.6,6.6,15.4
2017-03-18,159,11.3,8.4,16.9
2017-03-19,159,12.4,9,17.2
2017-03-20,159,10.7,8.1,14.5
2017-03-21,159,9.2,6.1,16.8
2017-03-22,159,9.1,4.5,14.2
2017-03-23,159,11.6,9,15.3
2017-03-24,159,9.9,7.8,12.9
2017-03-25,159,9.1,5.9,12.8
2017-03-26,159,6.9,4.5,10.6
2017-03-27,159,7.2,3.9,13.1
2017-03-28,159,9.3,3.7,14.7
2017-03-29,159,9,6.2,11.6
2017-03-30,159,12.5,7.7,18.1
2017-03-31,159,9.9,8.6,11.4
2017-04-01,159,8.8,6.7,12.3
2017-04-02,159,9.3,5,15.2
2017-04-03,159,14.9,6.9,22.5
2017-04-04,159,16.1,11.8,21.5
2017-04-05,159,14.5,12.4,15.3
2017-04-06,159,14.7,13.7,15.7
2017-04-07,159,16,12.5,21.3
2017-04-08,159,16.1,11.6,20.2
2017-04-09,159,14.3,11.3,17.7
2017-04-10,159,12.4,10.5,16.7
2017-04-11,159,12.8,9.7,18.2
2017-04-12,159,13.7,11.5,17.7
2017-04-13,159,15,8.9,19.5
2017-04-14,159,15.9,11.8,19.3
2017-04-15,159,17.8,14.9,21.6
2017-04-16,159,16.1,13.6,21
2017-04-17,159,15.7,13.1,17.8
2017-04-18,159,15.2,11.6,19.1
2017-04-19,159,15.1,10.6,18.5
2017-04-20,159,15.3,13.8,18.2
2017-04-21,159,15.5,12.2,20.9
2017-04-22,159,14,10.9,17.5
2017-04-23,159,14.4,9.9,17.9
2017-04-24,159,16.1,10.9,20.5
2017-04-25,159,17.6,14.9,19.7
2017-04-26,159,14.4,11.8,17.8
2017-04-27,159,14.5,10.7,20.1
2017-04-28,159,15.6,10.9,19.3
2017-04-29,159,17.9,13.5,22.7
